item,analysis_scope,primary_input,primary_script_or_workflow,deposited_verification_output,reproduction_level
Fig 1,"DEG, WGCNA, overlap, enrichment","GSE65682 log2 RMA maximum-probe matrix; phenotype metadata","final_revision_scripts/04_wgcna_allgenes_rerun.R; 09_rerun_overlap_enrichment.R; scripts/49_update_fig1_s1_corrected.R","corrected_DEG_Fig1_S1/; wgcna_final_rerun/; figure_source_data/",A-C
Fig 2,"Leakage-controlled feature prioritization and class balance","GSE65682 matrix and sample metadata","scripts/03_class_weighted_models.R through 07_class_imbalance_summary.py","class_imbalance_summaries/; 02_class_imbalance/; S5 Table",A-C
Fig 3,"External clinical-comparator and prognosis analyses","GEO matrices and cohort-specific metadata","scripts/08_external_metadata_audit.R through 13_clinical_meta_analysis.R; 27_clinical_extension.R; 43_extract_external_roc_data.R","clinical_validation/; 03_clinical_validation/; 04_prognosis_severity/; S4 Table",A-C
Fig 4,"GSE167363 donor-aware single-cell analysis","Sepsis_GSE167363_Final_Clean.rds","scripts/14_scrna_metadata_qc.R through 23_integrated_evidence_summary.R","single_cell_pseudobulk/; 05_single_cell_pseudobulk/; 06_monocyte_state/; S6 Table",B-C
Fig 5,"GSE205672 and SCP548 independent program validation","GSE205672 matrix; SCP548 metadata/count objects; fixed signatures","scripts/28_scp548_independent_validation.R; 29_gse205672_monocyte_validation.R; 30_mechanistic_triangulation.R","bulk_singlecell_integration/; figure_source_data/Fig_GSE205672_*; Fig_SCP548_*",A-C
Fig 6,"Matched docking and MD summary","PDB 5HLO; PubChem-defined ligands; deposited docking/MD inputs","structural_reproducibility/docking_scripts; structural_reproducibility/md_scripts","docking_summaries/; MD_summaries/; Zenodo archive 04",C-D
Fig 7,"Initial THP-1 perturbation and CETSA","Archived relative-expression, densitometry, and CETSA values","scripts/36_fig7_fig8_statistics.py; 37_redraw_fig7_fig8_quant.py; 38_assemble_fig7_fig8.py","in_vitro_source_data/; figure_source_data/Fig7_Fig8_*; S7 Table; S1 Raw images",C
Fig 8,"S100A8 knockdown factorial experiments and dependency test","Archived repeat-level densitometry values","scripts/36_fig7_fig8_statistics.py; 37_redraw_fig7_fig8_quant.py; 38_assemble_fig7_fig8.py","in_vitro_source_data/; figure_source_data/Fig7_Fig8_*; S7 Table; S1 Raw images",C
S1 Fig,"Descriptive feature prioritization","Final 265-gene WGCNA-DEG overlap","scripts/49_update_fig1_s1_corrected.R; 50_finish_corrected_fig1_s1.R","corrected_DEG_Fig1_S1/; figure_source_data/S1_*",A-C
S2 Fig,"Clinical/outcome sensitivity","External transcriptomic inputs","scripts/10-13 and 27","clinical_validation/; 03_clinical_validation/; 04_prognosis_severity/",A-C
S3 Fig,"Pseudobulk robustness and donor TF activity","Frozen GSE167363 object","scripts/14-23","single_cell_pseudobulk/; 05_single_cell_pseudobulk/",B-C
S4 Fig,"Non-circular state sensitivity","Frozen single-cell objects and fixed signatures","scripts/17-23; 28-30","single_cell_pseudobulk/; bulk_singlecell_integration/",B-C
S5 Fig,"Replicate-aware apo/complex MD metrics","Six canonical 100-ns trajectories","structural_reproducibility/md_scripts/summarize_replicates_v3.py; plot_md_publication_figures_python_v2.py","MD_summaries/; trajectory archives",C-D
S6 Fig,"Ligand trajectory/contact metrics","Three complex canonical trajectories","structural_reproducibility/md_scripts/run_contact_occupancy_v2.ps1; summarize_replicates_v3.py","MD_summaries/; complex trajectory archives",C-D
S7 Fig,"Pooled PCA/free-energy landscapes","Six canonical trajectories","structural_reproducibility/md_scripts/run_pooled_ca_pca_v3.ps1; compute_pca_fel_v3.py","MD_summaries/; trajectory archives",C-D
S8 Fig,"CCK-8 concentration screen","Archived technical-well values","scripts/39_fix_s7_s8.py","in_vitro_source_data/Fig7_Fig8_quantitative_source_data.csv",C
S1 Table,"Cohorts and analytic roles","GEO/SCP metadata","curated table build","tables/published_supporting/S1_Table_Cohorts.xlsx",C
S2 Table,"Oligonucleotides","Author-confirmed sequences","curated table build","tables/published_supporting/S2_Table_Oligonucleotides.xlsx",C
S3 Table,"Resources and software","Analysis environment and author records","scripts/01_package_environment.R; curated table build","environment/; tables/published_supporting/S3_Table_Resources.xlsx",C
S4 Table,"Clinical validation","Clinical analysis outputs","scripts/10-13; 27","tables/published_supporting/S4_Table_Clinical_Validation.xlsx",A-C
S5 Table,"Class balance","Repeated CV/downsampling/bootstrap outputs","scripts/03-07","tables/published_supporting/S5_Table_Class_Balance.xlsx",A-C
S6 Table,"Donor pseudobulk","Frozen GSE167363 object","scripts/14-23","tables/published_supporting/S6_Table_Donor_Pseudobulk.xlsx",B-C
S7 Table,"In vitro statistics","Archived repeat-level measurements","scripts/36_fig7_fig8_statistics.py","tables/published_supporting/S7_Table_In_Vitro_Statistics.xlsx",C
